ID: koa_10008006_004 | T:24 vs O:26
ID: koa_10008008_001 | T:2 vs O:4
ID: koa_10008009_002 | T:26 vs O:29
ID: koa_10008010_003 | T:2 vs O:4
ID: koa_10008011_004 | T:32 vs O:38
ID: koa_10008011_005 | T:2 vs O:4
ID: koa_10008012_004 | T:9 vs O:11
ID: koa_10008013_002 | T:1 vs O:3
ID: koa_10008013_005 | T:38 vs O:33
ID: koa_10008016_002 | T:43 vs O:54
ID: koa_10008016_003 | T:13 vs O:17
ID: koa_10008017_004 | T:3 vs O:6
ID: koa_10008017_006 | T:9 vs O:12
ID: koa_10008017_007 | T:11 vs O:14
ID: koa_10008017_008 | T:11 vs O:14
ID: koa_10008017_009 | T:25 vs O:32
ID: koa_10008018_005 | T:7 vs O:12
ID: koa_10008020_014 | T:14 vs O:17
ID: koa_10008023_002 | T:9 vs O:11
ID: koa_10008023_006 | T:5 vs O:7
ID: koa_10008024_007 | T:2 vs O:4
ID: koa_10008025_001 | T:8 vs O:10
ID: koa_10008027_003 | T:2 vs O:4
ID: koa_10008028_002 | T:3 vs O:5
ID: koa_10008028_010 | T:1 vs O:3
ID: koa_10008029_002 | T:1 vs O:3
ID: koa_10009001_001 | T:3 vs O:5
ID: koa_10009002_002 | T:5 vs O:3
ID: koa_10009006_002 | T:11 vs O:13
ID: koa_10009008_002 | T:6 vs O:8
ID: koa_10009009_004 | T:7 vs O:5
ID: koa_10009010_001 | T:27 vs O:25
ID: koa_10009012_003 | T:23 vs O:26
ID: koa_10009014_002 | T:12 vs O:9
ID: koa_10009015_003 | T:8 vs O:6
ID: koa_10009024_001 | T:6 vs O:8
ID: koa_10009026_001 | T:3 vs O:5
ID: koa_10009026_003 | T:10 vs O:8
ID: koa_10009030_002 | T:3 vs O:5
ID: koa_10009030_003 | T:6 vs O:4
ID: koa_10010013_002 | T:43 vs O:49
ID: koa_10010014_002 | T:2 vs O:4
ID: koa_10010014_004 | T:4 vs O:6
ID: koa_10010018_002 | T:7 vs O:4
ID: koa_10010018_003 | T:7 vs O:5
ID: koa_10010019_002 | T:14 vs O:12
ID: koa_10010025_002 | T:9 vs O:6
ID: koa_10010029_002 | T:3 vs O:1
ID: koa_10011003_003 | T:29 vs O:23
ID: koa_10011006_001 | T:38 vs O:34
ID: koa_10011008_002 | T:6 vs O:2
ID: koa_10011009_002 | T:24 vs O:22
ID: koa_10011009_003 | T:14 vs O:12
ID: koa_10011009_007 | T:3 vs O:1
ID: koa_10011010_006 | T:75 vs O:64
ID: koa_10011012_002 | T:128 vs O:115
ID: koa_10011013_003 | T:3 vs O:5
ID: koa_10011015_002 | T:85 vs O:79
ID: koa_10011017_002 | T:7 vs O:5
ID: koa_10011020_002 | T:29 vs O:23
ID: koa_10011021_001 | T:35 vs O:32
ID: koa_10011021_007 | T:8 vs O:6
ID: koa_10011022_004 | T:9 vs O:7
ID: koa_10011022_005 | T:24 vs O:22
ID: koa_10011022_007 | T:103 vs O:85
ID: koa_10011023_001 | T:22 vs O:18
ID: koa_10011023_002 | T:35 vs O:27
ID: koa_10011024_003 | T:15 vs O:11
ID: koa_10011025_002 | T:1 vs O:0
ID: koa_10011025_003 | T:30 vs O:22
ID: koa_10011030_001 | T:11 vs O:8
ID: koa_10012003_001 | T:10 vs O:7
ID: koa_10012003_002 | T:21 vs O:17
ID: koa_10012003_003 | T:28 vs O:17
ID: koa_10012003_004 | T:31 vs O:21
ID: koa_10012010_001 | T:20 vs O:18
ID: koa_10012014_001 | T:13 vs O:10
ID: koa_10012017_001 | T:6 vs O:8
ID: koa_10012018_001 | T:19 vs O:16
ID: koa_10012018_004 | T:4 vs O:2
ID: koa_10012019_002 | T:16 vs O:13
ID: koa_10012019_005 | T:8 vs O:5
ID: koa_10012020_002 | T:145 vs O:122
ID: koa_10012021_003 | T:1 vs O:3
ID: koa_10012025_001 | T:11 vs O:9
ID: koa_10101004_002 | T:13 vs O:11
ID: koa_10101005_001 | T:10 vs O:8
ID: koa_10101005_003 | T:10 vs O:13
ID: koa_10101005_006 | T:21 vs O:11
ID: koa_10101007_001 | T:9 vs O:7
ID: koa_10101007_002 | T:9 vs O:7
ID: koa_10101008_003 | T:18 vs O:15
ID: koa_10101009_004 | T:21 vs O:19
ID: koa_10101010_002 | T:10 vs O:7
ID: koa_10101010_004 | T:20 vs O:17
ID: koa_10101013_001 | T:8 vs O:4
ID: koa_10101017_002 | T:3 vs O:1
ID: koa_10101018_005 | T:8 vs O:5
ID: koa_10101021_001 | T:2 vs O:4
ID: koa_10101021_003 | T:8 vs O:6
ID: koa_10101021_004 | T:23 vs O:19
ID: koa_10101023_004 | T:3 vs O:1
ID: koa_10101027_001 | T:4 vs O:2
ID: koa_10101028_001 | T:10 vs O:7
