ID: koa_10005015_003 | O:2, T:1
ID: koa_10005018_002 | O:1, T:2
ID: koa_10005018_003 | O:2, T:1
ID: koa_10005019_004 | O:1, T:7
ID: koa_10005020_002 | O:5, T:3
ID: koa_10005020_005 | O:2, T:1
ID: koa_10005021_002 | O:3, T:1
ID: koa_10005022_001 | O:3, T:1
ID: koa_10005022_003 | O:3, T:2
ID: koa_10005023_003 | O:1, T:2
ID: koa_10005023_004 | O:2, T:1
ID: koa_10005023_005 | O:6, T:8
ID: koa_10005024_002 | O:1, T:2
ID: koa_10005025_003 | O:3, T:2
ID: koa_10005026_003 | O:1, T:3
ID: koa_10005027_002 | O:1, T:3
ID: koa_10005027_004 | O:2, T:1
ID: koa_10005028_002 | O:29, T:12
ID: koa_10005029_001 | O:1, T:3
ID: koa_10005029_002 | O:2, T:1
ID: koa_10005029_003 | O:1, T:2
ID: koa_10005030_002 | O:2, T:1
ID: koa_10006001_002 | O:2, T:3
ID: koa_10006001_004 | O:1, T:2
ID: koa_10006002_001 | O:2, T:3
ID: koa_10006002_002 | O:9, T:10
ID: koa_10006003_002 | O:3, T:13
ID: koa_10006003_005 | O:3, T:2
ID: koa_10006006_002 | O:2, T:1
ID: koa_10006008_001 | O:3, T:2
ID: koa_10006009_005 | O:1, T:2
ID: koa_10006012_001 | O:4, T:3
ID: koa_10006013_005 | O:1, T:2
ID: koa_10006015_001 | O:5, T:6
ID: koa_10006015_002 | O:4, T:6
ID: koa_10006015_003 | O:2, T:1
ID: koa_10006015_004 | O:1, T:3
ID: koa_10006015_005 | O:1, T:3
ID: koa_10006015_007 | O:1, T:3
ID: koa_10006017_002 | O:2, T:1
ID: koa_10006017_003 | O:1, T:2
ID: koa_10006018_002 | O:1, T:2
ID: koa_10006018_003 | O:1, T:3
ID: koa_10006018_005 | O:2, T:3
ID: koa_10006018_007 | O:1, T:6
ID: koa_10006018_008 | O:16, T:7
ID: koa_10006021_002 | O:2, T:1
ID: koa_10006022_001 | O:2, T:1
ID: koa_10006023_001 | O:2, T:1
ID: koa_10006024_003 | O:3, T:4
ID: koa_10006024_004 | O:2, T:1
ID: koa_10006024_006 | O:12, T:15
ID: koa_10006025_003 | O:2, T:1
ID: koa_10006027_001 | O:2, T:1
ID: koa_10006028_002 | O:2, T:7
ID: koa_10006028_003 | O:18, T:22
ID: koa_10006029_001 | O:5, T:6
ID: koa_10007001_001 | O:3, T:6
ID: koa_10007002_001 | O:1, T:2
ID: koa_10007002_003 | O:1, T:2
ID: koa_10007002_004 | O:3, T:2
ID: koa_10007002_011 | O:14, T:1
ID: koa_10007002_015 | O:5, T:4
ID: koa_10007003_007 | O:3, T:2
ID: koa_10007004_006 | O:14, T:1
ID: koa_10007004_007 | O:2, T:1
ID: koa_10007005_004 | O:4, T:1
ID: koa_10007006_001 | O:3, T:1
ID: koa_10007006_002 | O:7, T:1
ID: koa_10007006_003 | O:2, T:1
ID: koa_10007006_004 | O:2, T:4
ID: koa_10007009_002 | O:2, T:1
ID: koa_10007009_005 | O:1, T:3
ID: koa_10007010_002 | O:2, T:1
ID: koa_10007011_001 | O:5, T:1
ID: koa_10007012_001 | O:1, T:13
ID: koa_10007012_003 | O:15, T:13
ID: koa_10007013_007 | O:4, T:1
ID: koa_10007013_008 | O:2, T:1
ID: koa_10007013_009 | O:2, T:1
ID: koa_10007014_003 | O:2, T:1
ID: koa_10007016_001 | O:3, T:2
ID: koa_10007017_002 | O:2, T:1
ID: koa_10007020_004 | O:1, T:2
ID: koa_10007021_001 | O:1, T:2
ID: koa_10007021_002 | O:5, T:2
ID: koa_10007021_003 | O:1, T:2
ID: koa_10007021_006 | O:1, T:2
ID: koa_10007022_002 | O:1, T:2
ID: koa_10007022_003 | O:1, T:2
ID: koa_10007022_004 | O:1, T:2
ID: koa_10007022_006 | O:2, T:1
ID: koa_10007023_001 | O:1, T:3
ID: koa_10007024_003 | O:4, T:1
ID: koa_10007024_007 | O:2, T:1
ID: koa_10007024_009 | O:1, T:2
ID: koa_10007028_001 | O:1, T:2
ID: koa_10007028_003 | O:1, T:2
ID: koa_10007029_001 | O:1, T:2
ID: koa_10008001_002 | O:1, T:2
ID: koa_10008002_003 | O:1, T:2
ID: koa_10008002_004 | O:1, T:2
ID: koa_10008003_001 | O:10, T:9
ID: koa_10008003_002 | O:9, T:11
ID: koa_10008006_001 | O:9, T:8
ID: koa_10008007_002 | O:29, T:28
ID: koa_10008010_003 | O:2, T:1
ID: koa_10008011_002 | O:1, T:2
ID: koa_10008012_002 | O:1, T:2
ID: koa_10008013_005 | O:14, T:4
ID: koa_10008017_007 | O:9, T:7
ID: koa_10008019_002 | O:1, T:2
ID: koa_10008019_003 | O:3, T:1
ID: koa_10008019_006 | O:1, T:2
ID: koa_10008020_005 | O:7, T:1
ID: koa_10008020_006 | O:5, T:1
ID: koa_10008020_011 | O:4, T:1
ID: koa_10008021_002 | O:1, T:2
ID: koa_10008023_001 | O:2, T:1
ID: koa_10008023_007 | O:13, T:1
ID: koa_10008024_006 | O:11, T:1
ID: koa_10008025_003 | O:1, T:2
ID: koa_10008025_006 | O:4, T:5
ID: koa_10008026_001 | O:2, T:1
ID: koa_10008027_001 | O:2, T:1
ID: koa_10008028_001 | O:6, T:5
ID: koa_10008028_005 | O:1, T:2
ID: koa_10008028_007 | O:1, T:2
ID: koa_10008028_008 | O:1, T:2
ID: koa_10008029_005 | O:2, T:1
ID: koa_10008030_002 | O:1, T:2
ID: koa_10009001_001 | O:3, T:1
ID: koa_10009002_002 | O:3, T:2
ID: koa_10009004_001 | O:2, T:1
ID: koa_10009004_003 | O:20, T:1
ID: koa_10009005_003 | O:2, T:1
ID: koa_10009005_006 | O:2, T:1
ID: koa_10009006_001 | O:2, T:1
ID: koa_10009007_003 | O:18, T:4
ID: koa_10009007_004 | O:13, T:1
ID: koa_10009009_002 | O:2, T:1
ID: koa_10009009_004 | O:1, T:5
ID: koa_10009010_001 | O:21, T:7
ID: koa_10009010_002 | O:2, T:3
ID: koa_10009012_003 | O:2, T:1
ID: koa_10009013_005 | O:2, T:3
ID: koa_10009014_002 | O:3, T:6
ID: koa_10009015_003 | O:4, T:5
ID: koa_10009021_001 | O:3, T:5
ID: koa_10009021_002 | O:2, T:1
ID: koa_10009025_001 | O:10, T:9
ID: koa_10009025_002 | O:2, T:4
ID: koa_10009026_001 | O:2, T:1
ID: koa_10009026_002 | O:1, T:2
ID: koa_10009030_003 | O:1, T:3
ID: koa_10010002_001 | O:1, T:2
ID: koa_10010002_002 | O:3, T:2
ID: koa_10010007_001 | O:2, T:1
ID: koa_10010014_004 | O:2, T:1
ID: koa_10010014_005 | O:1, T:3
ID: koa_10010017_001 | O:1, T:4
ID: koa_10010018_003 | O:2, T:3
ID: koa_10010018_005 | O:2, T:3
ID: koa_10010019_002 | O:1, T:3
ID: koa_10010020_001 | O:5, T:6
ID: koa_10010022_001 | O:1, T:2
ID: koa_10010022_002 | O:1, T:2
ID: koa_10010022_006 | O:1, T:2
ID: koa_10010023_001 | O:1, T:2
ID: koa_10010024_002 | O:16, T:14
ID: koa_10010025_002 | O:1, T:3
ID: koa_10010025_003 | O:1, T:2
ID: koa_10010026_001 | O:1, T:6
ID: koa_10010028_001 | O:2, T:3
ID: koa_10010029_001 | O:1, T:6
ID: koa_10010029_002 | O:1, T:3
ID: koa_10011001_002 | O:2, T:1
ID: koa_10011003_002 | O:6, T:7
ID: koa_10011003_003 | O:20, T:5
ID: koa_10011005_001 | O:2, T:3
ID: koa_10011006_001 | O:28, T:3
ID: koa_10011006_002 | O:1, T:2
ID: koa_10011007_002 | O:1, T:2
ID: koa_10011008_002 | O:2, T:6
ID: koa_10011008_003 | O:2, T:1
ID: koa_10011009_001 | O:2, T:3
ID: koa_10011009_002 | O:20, T:2
ID: koa_10011009_003 | O:3, T:5
ID: koa_10011009_005 | O:2, T:1
ID: koa_10011009_007 | O:1, T:3
ID: koa_10011010_005 | O:2, T:1
ID: koa_10011011_003 | O:1, T:3
ID: koa_10011017_002 | O:1, T:2
ID: koa_10011017_003 | O:2, T:1
ID: koa_10011020_002 | O:10, T:14
ID: koa_10011020_003 | O:1, T:2
ID: koa_10011021_001 | O:4, T:6
ID: koa_10011021_003 | O:1, T:2
ID: koa_10011021_004 | O:3, T:16
ID: koa_10011021_007 | O:1, T:2
ID: koa_10011022_004 | O:1, T:2
ID: koa_10011022_006 | O:1, T:2
ID: koa_10011023_001 | O:1, T:3
ID: koa_10011023_002 | O:1, T:4
ID: koa_10011025_003 | O:20, T:3
ID: koa_10012002_001 | O:2, T:1
ID: koa_10012003_002 | O:15, T:1
ID: koa_10012003_003 | O:10, T:3
ID: koa_10012003_004 | O:1, T:11
ID: koa_10012007_001 | O:1, T:3
ID: koa_10012008_002 | O:13, T:1
ID: koa_10012014_001 | O:1, T:6
ID: koa_10012019_002 | O:3, T:8
ID: koa_10012019_004 | O:1, T:3
ID: koa_10012019_005 | O:1, T:4
ID: koa_10012021_001 | O:1, T:2
ID: koa_10012021_002 | O:1, T:2
ID: koa_10012021_003 | O:3, T:1
ID: koa_10012022_001 | O:7, T:1
ID: koa_10012025_002 | O:3, T:4
ID: koa_10101001_002 | O:2, T:1
ID: koa_10101003_003 | O:1, T:13
ID: koa_10101005_002 | O:2, T:1
ID: koa_10101005_006 | O:5, T:6
ID: koa_10101006_002 | O:2, T:4
ID: koa_10101006_003 | O:1, T:6
ID: koa_10101007_001 | O:5, T:6
ID: koa_10101007_002 | O:1, T:2
ID: koa_10101007_004 | O:1, T:2
ID: koa_10101007_006 | O:5, T:4
ID: koa_10101008_001 | O:1, T:3
ID: koa_10101008_003 | O:1, T:4
ID: koa_10101009_004 | O:1, T:4
ID: koa_10101009_005 | O:30, T:2
ID: koa_10101010_003 | O:1, T:2
ID: koa_10101010_004 | O:1, T:6
ID: koa_10101011_001 | O:1, T:2
ID: koa_10101013_002 | O:4, T:1
ID: koa_10101018_002 | O:2, T:4
ID: koa_10101020_001 | O:2, T:1
ID: koa_10101021_001 | O:2, T:1
ID: koa_10101022_002 | O:1, T:2
ID: koa_10101025_004 | O:1, T:2
ID: koa_10101028_001 | O:1, T:3
ID: koa_10101028_002 | O:5, T:6
ID: koa_10101029_001 | O:12, T:13
ID: koa_10102001_004 | O:3, T:2
ID: koa_10102002_003 | O:1, T:2
ID: koa_10102005_003 | O:1, T:28
ID: koa_10102007_001 | O:4, T:9
ID: koa_10102008_001 | O:2, T:1
ID: koa_10102009_001 | O:2, T:1
ID: koa_10102010_001 | O:2, T:1
ID: koa_10102010_002 | O:6, T:5
ID: koa_10102011_001 | O:3, T:2
ID: koa_10102011_002 | O:1, T:4
ID: koa_10102011_003 | O:1, T:2
ID: koa_10102011_004 | O:1, T:2
ID: koa_10102012_001 | O:2, T:1
ID: koa_10102012_002 | O:16, T:3
ID: koa_10102013_001 | O:3, T:2
ID: koa_10102013_002 | O:4, T:3
ID: koa_10102013_006 | O:2, T:1
ID: koa_10102014_003 | O:11, T:3
ID: koa_10102014_004 | O:1, T:3
ID: koa_10102016_001 | O:1, T:2
ID: koa_10102018_001 | O:1, T:3
ID: koa_10102019_002 | O:1, T:2
ID: koa_10102022_001 | O:1, T:2
ID: koa_10103002_003 | O:3, T:2
ID: koa_10103003_005 | O:2, T:1
ID: koa_10103005_001 | O:20, T:19
ID: koa_10103007_002 | O:12, T:13
ID: koa_10103010_002 | O:1, T:2
ID: koa_10103010_005 | O:1, T:2
ID: koa_10103016_004 | O:2, T:1
ID: koa_10103017_001 | O:1, T:3
ID: koa_10103022_001 | O:3, T:4
ID: koa_10103022_002 | O:14, T:4
ID: koa_10103023_001 | O:1, T:7
ID: koa_10103023_002 | O:2, T:4
ID: koa_10103025_002 | O:8, T:9
ID: koa_10103026_002 | O:1, T:3
ID: koa_10103026_003 | O:11, T:14
ID: koa_10103026_004 | O:1, T:3
