ID: kpa_11205027_001 | O:67, T:1, R:2.41
ID: kpa_11208123_002 | O:45, T:5, R:2.20
ID: kpa_11305002_001 | O:49, T:3, R:2.25
ID: kpa_11305013_001 | O:77, T:1, R:2.12
ID: kpa_11305013_002 | O:97, T:1, R:2.25
ID: kpa_11308003_001 | O:112, T:1, R:2.34
ID: kpa_11311011_002 | O:46, T:1, R:2.28
ID: kpa_11312030_004 | O:53, T:2, R:2.29
ID: kpa_11402010_001 | O:51, T:1, R:2.28
ID: kpa_11405004_004 | O:47, T:1, R:2.24
ID: kpa_11406017_002 | O:55, T:1, R:2.32
ID: kpa_11407002_001 | O:48, T:8, R:2.16
ID: kpa_11408020_002 | O:47, T:1, R:2.14
ID: kpa_11409013_001 | O:83, T:2, R:2.13
ID: kpa_11411008_001 | O:50, T:5, R:2.15
ID: kpa_11411021_002 | O:54, T:1, R:2.17
ID: kpa_11501023_012 | O:46, T:1, R:2.46
ID: kpa_11504113_001 | O:68, T:1, R:2.11
ID: kpa_11505015_001 | O:104, T:1, R:2.19
ID: kpa_11506021_001 | O:66, T:1, R:2.05
ID: kpa_11510007_001 | O:67, T:1, R:2.06
ID: kpa_11602008_002 | O:54, T:45, R:2.27
ID: kpa_11702006_005 | O:75, T:1, R:2.09
ID: kpa_11705015_002 | O:49, T:1, R:2.15
ID: kpa_11805009_001 | O:145, T:2, R:2.03
ID: kpa_11806023_002 | O:47, T:1, R:2.32
ID: kpa_11904009_001 | O:64, T:1, R:2.26
ID: kpa_11905004_002 | O:47, T:1, R:2.25
ID: kpa_11905009_001 | O:45, T:2, R:2.12
ID: kpa_11907010_003 | O:45, T:1, R:2.08
ID: kpa_12002002_002 | O:80, T:1, R:2.27
ID: kpa_12101023_003 | O:77, T:2, R:2.16
ID: kpa_12105014_001 | O:63, T:2, R:2.38
ID: kpa_12109013_001 | O:49, T:1, R:2.33
ID: kpa_12203021_002 | O:98, T:1, R:2.05
ID: kpa_12211018_001 | O:47, T:1, R:2.55
ID: kpa_12212003_001 | O:48, T:1, R:2.36
ID: kpa_12305028_002 | O:99, T:1, R:2.58
ID: kpa_12306010_005 | O:50, T:1, R:2.73
ID: kpa_12306010_007 | O:45, T:1, R:2.57
ID: kpa_12309027_001 | O:72, T:18, R:2.35
ID: kpa_12310009_002 | O:54, T:1, R:2.19
ID: kpa_12609015_004 | O:49, T:1, R:2.23
ID: kqa_10006004_001 | O:71, T:1, R:2.21
ID: kqa_10006024_002 | O:179, T:1, R:2.21
ID: kqa_10006024_003 | O:65, T:2, R:2.05
ID: kqa_10009002_004 | O:66, T:1, R:2.13
ID: kqa_10010018_002 | O:53, T:1, R:2.24
ID: kqa_10011014_001 | O:51, T:2, R:2.04
ID: kqa_10011016_002 | O:138, T:2, R:2.13
ID: kqa_10011020_004 | O:66, T:1, R:2.14
ID: kqa_10102022_002 | O:50, T:1, R:2.02
ID: kqa_10103001_001 | O:68, T:1, R:1.98
ID: kqa_10105001_004 | O:61, T:1, R:2.11
ID: kqa_10107003_002 | O:166, T:1, R:2.63
ID: kqa_10107023_001 | O:64, T:1, R:2.35
ID: kqa_10109016_001 | O:51, T:1, R:2.35
ID: kqa_10206006_002 | O:101, T:2, R:2.37
ID: kqa_10206006_003 | O:156, T:1, R:2.34
ID: kqa_10206012_005 | O:53, T:1, R:2.38
ID: kqa_10208009_003 | O:58, T:1, R:2.24
ID: kqa_10302003_005 | O:53, T:1, R:2.58
ID: kqa_10304025_002 | O:61, T:1, R:2.50
ID: kqa_10304026_001 | O:85, T:1, R:2.31
ID: kqa_10304028_002 | O:56, T:1, R:2.22
ID: kqa_10306025_001 | O:68, T:30, R:2.28
ID: kqa_10306029_003 | O:53, T:13, R:2.24
ID: kqa_10310022_001 | O:46, T:1, R:2.07
ID: kqa_10310022_003 | O:106, T:3, R:2.21
ID: kqa_10311013_002 | O:63, T:1, R:2.06
ID: kqa_10312002_006 | O:96, T:1, R:2.16
ID: kqa_10401005_001 | O:96, T:1, R:2.51
ID: kqa_10401006_002 | O:194, T:1, R:2.43
ID: kqa_10402013_001 | O:92, T:1, R:2.35
ID: kqa_10407002_002 | O:146, T:1, R:2.22
ID: kqa_10501015_004 | O:95, T:1, R:2.39
ID: kqa_10502010_003 | O:65, T:1, R:2.30
ID: kqa_10506015_005 | O:48, T:1, R:2.25
ID: kqa_10506017_005 | O:76, T:1, R:2.13
ID: kqa_10506017_007 | O:45, T:1, R:2.18
ID: kqa_10506020_004 | O:57, T:1, R:2.38
ID: kqa_10507004_002 | O:55, T:9, R:2.16
ID: kqa_10507007_001 | O:53, T:1, R:2.06
ID: kqa_10507008_003 | O:47, T:1, R:2.16
ID: kqa_10511016_001 | O:85, T:1, R:2.24
ID: kqa_10511018_002 | O:81, T:1, R:2.18
ID: kqa_10605011_002 | O:46, T:2, R:2.16
ID: kqa_10605025_003 | O:48, T:2, R:2.21
ID: kqa_10607021_002 | O:51, T:1, R:2.51
ID: kqa_10607021_003 | O:64, T:1, R:2.36
ID: kqa_10607028_001 | O:119, T:1, R:2.38
ID: kqa_10701026_002 | O:50, T:2, R:2.16
ID: kqa_10702027_002 | O:179, T:2, R:2.29
ID: kqa_10703007_001 | O:60, T:1, R:2.37
ID: kqa_10703015_002 | O:176, T:1, R:2.24
ID: kqa_10709015_002 | O:56, T:1, R:2.38
ID: kqa_10709019_002 | O:92, T:1, R:2.42
ID: kqa_10711026_001 | O:80, T:1, R:2.28
ID: kqa_10801026_003 | O:64, T:1, R:2.54
ID: kqa_10802027_003 | O:69, T:1, R:2.37
ID: kqa_10804030_003 | O:48, T:1, R:2.14
ID: kqa_10805005_003 | O:62, T:1, R:2.30
ID: kqa_10805013_002 | O:82, T:1, R:2.19
ID: kqa_10805014_002 | O:57, T:1, R:2.25
ID: kqa_10806007_001 | O:69, T:1, R:2.23
ID: kqa_10811002_003 | O:103, T:1, R:2.42
ID: kqa_10811006_002 | O:91, T:1, R:2.53
ID: kqa_10811022_003 | O:75, T:1, R:2.53
ID: kqa_10812019_001 | O:59, T:1, R:2.43
ID: kqa_10904006_001 | O:72, T:1, R:2.26
ID: kqa_10910021_002 | O:62, T:1, R:2.29
ID: kqa_10912017_003 | O:56, T:6, R:2.23
ID: kqa_11003104_004 | O:60, T:1, R:2.39
ID: kqa_11003109_001 | O:79, T:1, R:2.36
ID: kqa_11003118_002 | O:60, T:3, R:2.38
ID: kra_10104010_001 | O:68, T:35, R:2.15
ID: kra_10104018_001 | O:98, T:1, R:2.11
ID: kra_10105006_002 | O:1, T:1, R:9.50
ID: kra_10109005_001 | O:92, T:12, R:2.18
ID: kra_10404019_001 | O:48, T:10, R:2.46
ID: kra_10407029_002 | O:144, T:85, R:2.45
ID: kra_10408002_002 | O:68, T:1, R:2.32
ID: kra_10506023_001 | O:46, T:25, R:2.36
ID: kra_10610023_002 | O:46, T:18, R:2.21
ID: kra_10611029_001 | O:49, T:1, R:2.45
ID: kra_10702021_001 | O:76, T:9, R:2.07
ID: kra_10703023_001 | O:227, T:292, R:2.15
ID: kra_10703025_006 | O:86, T:1, R:2.14
ID: kra_10905013_002 | O:1, T:5, R:15.30
ID: kra_11103009_001 | O:50, T:19, R:2.15
ID: kra_11104010_002 | O:45, T:15, R:2.24
ID: kra_11306009_002 | O:49, T:2, R:2.12
ID: kra_11307111_003 | O:55, T:3, R:2.25
ID: kra_11409017_001 | O:46, T:1, R:2.25
ID: kra_11412018_003 | O:59, T:1, R:2.27
ID: ksa_10101008_003 | O:54, T:2, R:2.23
ID: ksa_10101018_005 | O:65, T:3, R:2.10
ID: ksa_10101023_002 | O:76, T:9, R:2.11
ID: ksa_10104001_001 | O:84, T:68, R:2.44
ID: ksa_10104001_004 | O:46, T:63, R:2.45
ID: ksa_10104010_007 | O:79, T:90, R:2.43
ID: ksa_10104025_003 | O:46, T:70, R:2.49
ID: ksa_10106004_001 | O:45, T:50, R:2.35
ID: ksa_10107012_001 | O:71, T:22, R:2.31
ID: ksa_10108003_001 | O:54, T:11, R:2.27
ID: ksa_10109026_004 | O:67, T:6, R:2.06
ID: ksa_10209024_001 | O:52, T:2, R:2.14
ID: ksa_10210021_002 | O:62, T:1, R:2.29
ID: ksa_10304011_001 | O:62, T:4, R:2.26
ID: ksa_10311021_001 | O:46, T:2, R:2.29
ID: ksa_10402012_001 | O:92, T:12, R:2.20
ID: ksa_10503012_006 | O:113, T:1, R:2.14
