ID: koa_10003028_002 | Count: 1
ID: koa_10003028_003 | Count: 4
ID: koa_10003029_001 | Count: 4
ID: koa_10003029_004 | Count: 1
ID: koa_10004001_004 | Count: 1
ID: koa_10004001_005 | Count: 1
ID: koa_10004002_003 | Count: 1
ID: koa_10004005_004 | Count: 1
ID: koa_10004006_002 | Count: 10
ID: koa_10004011_001 | Count: 1
ID: koa_10004012_001 | Count: 1
ID: koa_10004012_003 | Count: 3
ID: koa_10004012_004 | Count: 1
ID: koa_10004013_001 | Count: 4
ID: koa_10004013_004 | Count: 1
ID: koa_10004014_001 | Count: 1
ID: koa_10004014_003 | Count: 6
ID: koa_10004016_001 | Count: 1
ID: koa_10004016_005 | Count: 3
ID: koa_10004017_001 | Count: 1
ID: koa_10004017_002 | Count: 3
ID: koa_10004017_004 | Count: 4
ID: koa_10004017_007 | Count: 4
ID: koa_10004017_008 | Count: 8
ID: koa_10004017_009 | Count: 1
ID: koa_10004018_001 | Count: 1
ID: koa_10004018_003 | Count: 1
ID: koa_10004018_004 | Count: 6
ID: koa_10004019_001 | Count: 1
ID: koa_10004019_005 | Count: 4
ID: koa_10004020_001 | Count: 1
ID: koa_10004020_002 | Count: 6
ID: koa_10004021_001 | Count: 1
ID: koa_10004022_001 | Count: 1
ID: koa_10004022_003 | Count: 5
ID: koa_10004022_004 | Count: 6
ID: koa_10004022_007 | Count: 4
ID: koa_10004022_010 | Count: 1
ID: koa_10004023_001 | Count: 1
ID: koa_10004023_007 | Count: 3
ID: koa_10004024_001 | Count: 1
ID: koa_10004024_002 | Count: 10
ID: koa_10004024_004 | Count: 7
ID: koa_10004024_007 | Count: 7
ID: koa_10004025_001 | Count: 1
ID: koa_10004025_002 | Count: 1
ID: koa_10004025_009 | Count: 1
ID: koa_10004026_001 | Count: 4
ID: koa_10004027_001 | Count: 1
ID: koa_10004027_002 | Count: 3
ID: koa_10004028_001 | Count: 1
ID: koa_10004028_005 | Count: 1
ID: koa_10004029_002 | Count: 3
ID: koa_10004029_003 | Count: 10
ID: koa_10004029_004 | Count: 6
ID: koa_10005001_001 | Count: 3
ID: koa_10005001_002 | Count: 2
ID: koa_10005002_001 | Count: 3
ID: koa_10005004_002 | Count: 5
ID: koa_10005005_001 | Count: 1
ID: koa_10005006_001 | Count: 1
ID: koa_10005006_002 | Count: 1
ID: koa_10005007_001 | Count: 7
ID: koa_10005007_005 | Count: 1
ID: koa_10005008_003 | Count: 1
ID: koa_10005008_004 | Count: 2
ID: koa_10005008_005 | Count: 1
ID: koa_10005009_002 | Count: 4
ID: koa_10005014_001 | Count: 1
ID: koa_10005014_002 | Count: 1
ID: koa_10005014_004 | Count: 1
ID: koa_10005015_001 | Count: 1
ID: koa_10005015_002 | Count: 1
ID: koa_10005015_004 | Count: 1
ID: koa_10005016_002 | Count: 22
ID: koa_10005017_002 | Count: 4
ID: koa_10005018_002 | Count: 7
ID: koa_10005018_003 | Count: 5
ID: koa_10005019_001 | Count: 1
ID: koa_10005019_004 | Count: 7
ID: koa_10005019_005 | Count: 1
ID: koa_10005019_006 | Count: 1
ID: koa_10005020_001 | Count: 3
ID: koa_10005020_005 | Count: 1
ID: koa_10005021_003 | Count: 3
ID: koa_10005021_004 | Count: 4
ID: koa_10005022_002 | Count: 1
ID: koa_10005022_005 | Count: 2
ID: koa_10005023_003 | Count: 14
ID: koa_10005023_004 | Count: 1
ID: koa_10005025_002 | Count: 6
ID: koa_10005025_004 | Count: 1
ID: koa_10005026_002 | Count: 1
ID: koa_10005028_001 | Count: 7
ID: koa_10005028_003 | Count: 1
ID: koa_10005030_003 | Count: 1
ID: koa_10005030_004 | Count: 1
ID: koa_10006001_001 | Count: 3
ID: koa_10006001_002 | Count: 8
ID: koa_10006001_003 | Count: 3
ID: koa_10006001_005 | Count: 1
ID: koa_10006003_002 | Count: 14
ID: koa_10006003_004 | Count: 1
ID: koa_10006004_002 | Count: 1
ID: koa_10006005_003 | Count: 6
ID: koa_10006005_004 | Count: 1
ID: koa_10006006_001 | Count: 4
ID: koa_10006006_002 | Count: 6
ID: koa_10006007_002 | Count: 1
ID: koa_10006008_002 | Count: 6
ID: koa_10006009_003 | Count: 4
ID: koa_10006009_006 | Count: 1
ID: koa_10006010_001 | Count: 8
ID: koa_10006010_002 | Count: 8
ID: koa_10006013_001 | Count: 1
ID: koa_10006013_004 | Count: 6
ID: koa_10006013_005 | Count: 9
ID: koa_10006014_001 | Count: 1
ID: koa_10006014_003 | Count: 1
ID: koa_10006014_005 | Count: 6
ID: koa_10006015_006 | Count: 3
ID: koa_10006015_007 | Count: 6
ID: koa_10006015_010 | Count: 5
ID: koa_10006016_001 | Count: 1
ID: koa_10006016_002 | Count: 1
ID: koa_10006017_004 | Count: 4
ID: koa_10006017_005 | Count: 1
ID: koa_10006018_001 | Count: 1
ID: koa_10006018_003 | Count: 6
ID: koa_10006018_004 | Count: 4
ID: koa_10006018_006 | Count: 4
ID: koa_10006018_009 | Count: 14
ID: koa_10006019_002 | Count: 3
ID: koa_10006020_001 | Count: 1
ID: koa_10006020_002 | Count: 1
ID: koa_10006020_003 | Count: 1
ID: koa_10006020_005 | Count: 1
ID: koa_10006020_006 | Count: 2
ID: koa_10006021_001 | Count: 1
